INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	Ðoàn Chính Thu¥n	1	81	1326	0	10	3	-1	8	20	1	0.1	1	0	2371	1060	2371	1060	17794	2566	0	0	1645	156	7	7	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	124	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
11	Tô ThÑc	1	55	708	0	10	3	-1	8	20	1	0.1	1	0	1614	722	1614	722	9320	1747	0	0	784	106	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	117	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0	-1
12	Vß½ng An ThÕch	1	58	744	0	10	3	-1	8	20	1	0.1	1	0	1702	761	1702	761	9824	1842	0	0	827	112	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	116	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0	-1
14	Hàn Thª Trung	1	94	1564	0	10	3	-1	8	20	1	0.1	1	0	3011	1230	3011	1230	22220	2976	0	0	1907	181	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	131	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
15	Vß½ng Ngæ Yên	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	312	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
16	Phß½ng LÕp	1	102	1717	0	10	3	-1	8	20	1	0.1	1	0	3550	1334	3550	1334	25824	3228	0	0	2068	197	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	126	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	2	10	0	0	2	1	0	0	0	-1
17	Cao C¥u	1	22	218	0	10	3	-1	8	20	1	0.1	1	0	623	292	623	292	2643	708	0	0	217	43	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	87	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_14	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	10	10	0	0	2	1	0	0	0	-1
18	H°i C¯t Vß½ng Næ	1	18	158	0	10	3	-1	8	20	1	0.1	1	0	512	240	512	240	1862	582	0	0	178	35	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	245	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_6	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	19	10	0	0	2	1	0	0	0	-1
19	Trß½ng Huy«n T¯	1	110	1860	0	10	3	-1	8	20	1	0.1	1	0	3828	1438	3828	1438	29696	3480	0	0	2230	212	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	76	1	1	-1	100	100	set:CommonNPCHeader5 image:CommonNPCHeader5_25	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	4	10	0	0	2	1	0	0	0	-1
20	Huy«n T×	1	107	1798	0	10	3	-1	8	20	1	0.1	1	0	3724	1399	3724	1399	27084	3385	0	0	2169	206	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	110	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	1	10	0	0	2	1	0	0	0	-1
21	Ð¢ng Nguyên Tá Vi	1	20	201	0	10	3	-1	8	20	1	0.1	1	0	567	266	567	266	2408	645	0	0	198	39	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	54	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_18	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	-1
22	Kim Tä Hoán	1	21	210	0	10	3	-1	8	20	1	0.1	1	0	595	279	595	279	2525	676	0	0	207	41	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	20	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	-1
24	Tiêu Vi­n S½n	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	59	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_21	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	13	10	0	0	2	1	0	0	0	-1
25	Mµ Dung Bác	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	333	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
27	Tôn Tán Vß½ng TØ	1	48	561	0	10	3	-1	8	20	1	0.1	1	0	1343	631	1343	631	7329	1527	0	0	588	93	4	4	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	78	1	1	-1	100	100	set:CommonNPCHeader3 image:CommonNPCHeader3_24	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	-1
29	Mã LÕp	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	129	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_1	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	2	10	0	0	2	1	0	0	0	-1
30	Tô Tinh Hà	1	92	1532	0	10	3	-1	8	20	1	0.1	1	0	2947	1204	2947	1204	21750	2913	0	0	1867	177	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	100	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	9	10	0	0	2	1	0	0	0	-1
31	Ðoàn Diên Khánh	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	123	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_4	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0	-1
34	Lý Sß Sß	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	25	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
35	Thiên S½n Ð°ng Lão	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	225	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0	-1
36	Chung Linh	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	310	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
37	Mai Kiªm	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	221	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_11	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	8	10	0	0	2	1	0	0	0	-1
38	Ngân Xuyên Công Chúa	1	120	2023	0	10	3	-1	8	20	1	0.1	1	0	4174	1568	4174	1568	32384	3795	0	0	2431	231	10	10	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	353	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0	-1
39	Chu Ðan Th¥n	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	136	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
40	Vân Trung HÕc	1	70	1065	0	10	3	-1	8	20	1	0.1	1	0	2051	917	2051	917	14208	2220	0	0	1281	135	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	73	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_14	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0	-1
41	Di®p Nh¸ Nß½ng	1	72	1094	0	10	3	-1	8	20	1	0.1	1	0	2109	943	2109	943	14611	2283	0	0	1317	139	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	70	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_15	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0	-1
42	T¤t Thång	1	20	201	0	10	3	-1	8	20	1	0.1	1	0	567	266	567	266	2408	645	0	0	198	39	2	2	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_16	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
44	A Bích	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	120	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_12	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
45	MÕnh Thanh Thanh	1	99	1643	0	10	3	-1	8	20	1	0.1	1	0	3171	1295	3171	1295	23396	3133	0	0	2008	191	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	217	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	5	10	0	0	2	1	0	0	0	-1
48	H°ng Ng÷c	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	134	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
49	T¥n H°ng Miên	1	75	1137	0	10	3	-1	8	20	1	0.1	1	0	2196	982	2196	982	15216	2377	0	0	1372	145	7	7	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	37	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_9	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
50	Phùng A Tam	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	130	1	1	-1	100	100	set:CommonNPCHeader9 image:CommonNPCHeader9_2	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	9	10	0	0	2	1	0	0	0	-1
51	Hách Liên Thiªt Thø	1	30	326	0	10	3	-1	8	20	1	0.1	1	0	844	396	844	396	4096	960	0	0	294	58	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	200	1	1	-1	100	100	set:CommonNPCHeader5 image:CommonNPCHeader5_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0	-1
52	Tiêu Tß¶ng	1	65	910	0	10	3	-1	8	20	1	0.1	1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	17	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	14	10	0	0	2	1	0	0	0	-1
53	Trß½ng Hàm Chi	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	347	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_7	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	4	10	0	0	2	1	0	0	0	-1
54	Ph§t „n	1	88	1435	0	10	3	-1	8	20	1	0.1	1	0	2575	1151	2575	1151	19323	2787	0	0	1786	170	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	94	1	1	-1	100	100	set:CommonNPCHeader6 image:CommonNPCHeader6_19	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	3	10	0	0	2	1	0	0	0	-1
55	Lâm Thª Trß¶ng	1	101	1701	0	10	3	-1	8	20	1	0.1	1	0	3516	1321	3516	1321	25572	3196	0	0	2048	195	9	9	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	363	1	0	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_20	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	2	10	0	0	2	1	0	0	0	-1
56	NhÕc Lão Tam	1	70	1065	0	10	3	-1	8	20	1	0.1	1	0	2051	917	2051	917	14208	2220	0	0	1281	135	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	348	1	1	-1	100	100	set:FightNPCHeader4 image:FightNPCHeader4_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	16	10	0	0	2	1	0	0	0	-1
57	Tri®u Thiên Sß	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	2539	1	1	-1	100	100	set:CommonNPCHeader16 image:CommonNPCHeader16_20	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	0	10	0	0	2	1	0	0	0	-1
58	A Phi	1	65	910	0	10	3	-1	8	20	1	0.1	1	0	1905	852	1905	852	12100	2062	0	0	1058	126	6	6	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	387	1	1	-1	100	100	set:CommonNPCHeader7 image:CommonNPCHeader7_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	14	10	0	0	2	1	0	0	0	-1
59	Du Du	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	387	1	1	-1	100	100	set:CommonNPCHeader7 image:CommonNPCHeader7_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
60	HÕ Thanh Thanh	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1945	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
61	Vu Sänh Sänh	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1945	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	6	10	0	0	2	1	0	0	0	-1
62	Vu CØu Liên	1	25	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	1989	1	1	-1	100	100	set:CommonNPCHeader7 image:CommonNPCHeader7_12	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	0	10	0	0	2	1	0	0	0	-1
78	A Vû Ðích Linh H°n	1	96	1596	0	10	3	-1	8	20	1	0.1	1	0	3075	1256	3075	1256	22691	3039	0	0	1947	185	8	8	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	259	1	1	-1	100	100	set:CommonNPCHeader7 image:CommonNPCHeader7_10	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	22	10	0	0	2	1	0	0	0	-1
79	L§p Ph°n	1	30	326	0	10	3	-1	8	20	1	0.1	1	0	844	396	844	396	4096	960	0	0	294	58	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	2082	1	1	2	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
80	Ðào Yêu Yêu	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	25	1	1	-1	100	100	set:CommonNPCHeader8 image:CommonNPCHeader8_8	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
81	H°ng S¡c Mµc Trang	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5021	0	0	-1	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
82	Hoàng S¡c Mµc Trang	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5021	0	0	-1	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
83	Lam S¡c Mµc Trang	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5021	0	0	-1	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
84	Løc S¡c Mµc Trang	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5021	0	0	-1	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
85	TØ S¡c Mµc Trang	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5021	0	0	-1	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
86	Hß Nghî Th¬	1	30	243	0	10	3	-1	8	20	1	0.1	0	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5022	0	0	-1	100	100	set:CommonNPCHeader14 image:CommonNPCHeader14_22	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
87	HÕnh Phúc Ðích ÐÕi Chung	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	5059	0	0	-1	100	100	set:haiwaizhuanyong1 image:haiwaizhuanyong1_6	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	4	-1
88	Th¥n Bí Thß½ng Nhân	1	30	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	2448	1	1	-1	100	100	set:CommonNPCHeader17 image:CommonNPCHeader17_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	2	1	0	0	0	-1
89	Chß Cát Thái	1	50	648	0	10	3	-1	8	20	1	0.1	1	0	1469	657	1469	657	8480	1590	0	0	714	97	5	5	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	310	1	1	-1	100	100	set:CommonNPCHeader12 image:CommonNPCHeader12_13	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	15	10	0	0	2	1	0	0	0	-1
90	Tiên Hoa „u Miêu C¤p 1	1	100	243	0	10	3	-1	8	20	1	0.1	1	0	706	331	706	331	2996	802	0	0	246	49	3	3	1800	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	2440	1	0	-1	100	100	set:CommonNPCHeader17 image:CommonNPCHeader17_12	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	12	10	0	0	3	1	0	0	0	-1
